abn,full_h,full_w,mask_h,mask_w,roi_h,roi_w
calcification,5840,3888,169,129,169,129
calcification,5491,3196,1249,1049,1249,1049
mass,4552,2976,4552,2976,229,314
mass,5386,3391,4686,2951,188,164
calcification,4776,3112,121,105,121,105
mass,4880,2776,4880,2776,543,591
mass,4951,3226,4951,3226,202,220
calcification,4448,2840,1449,868,1449,868
mass,5986,3841,252,394,252,394
mass,6856,3901,193,190,190,190
calcification,6226,4261,697,649,697,649
calcification,4824,2632,1385,1577,1385,1577
calcification,5491,2956,215,278,215,278
calcification,5311,2956,841,905,841,905
calcification,4448,2832,593,721,593,721
mass,4516,2386,440,543,440,543
mass,5491,2941,636,583,636,583
calcification,5941,3436,129,201,129,201
calcification,5491,3571,417,353,417,353
calcification,5632,3896,297,220,297,220
mass,4464,3056,340,354,340,354
mass,6016,3241,6016,3241,274,206
mass,4616,3040,4616,3040,234,238
mass,4640,2752,4640,2752,678,689
calcification,5800,4064,169,209,169,209
mass,5824,3768,954,748,954,748
mass,5476,3166,510,518,510,518
calcification,4786,2416,697,701,697,685
calcification,5386,2281,185,206,185,206
mass,5608,3960,229,255,229,255
mass,5296,3781,268,256,268,256
calcification,4736,3128,129,113,129,113
mass,5856,3736,648,353,648,353
mass,5776,3720,280,346,280,346
mass,4760,2512,4760,2512,270,254
mass,5281,2476,4595,2155,378,406
mass,6616,3721,487,505,487,505
mass,4456,2864,4456,2864,426,412
mass,4712,2800,292,319,292,319
calcification,5920,3192,233,249,233,249
mass,5760,3776,5760,3776,290,342
calcification,4496,2928,593,516,593,516
calcification,4592,3088,89,105,89,105
calcification,5592,4008,145,257,145,257
calcification,6024,4144,249,249,249,249
mass,4744,2912,4744,2912,319,321
calcification,5056,2761,5056,2761,549,637
calcification,4568,2920,289,265,287,265
calcification,4501,2011,265,129,265,129
calcification,4756,2626,565,525,565,525
calcification,4400,3104,1417,897,1417,897
calcification,4306,2176,169,201,169,201
mass,4704,2672,4704,2672,327,251
calcification,4560,3024,209,209,209,209
mass,5936,3560,190,214,190,214
mass,6691,4081,485,513,485,513
mass,6286,3346,360,339,360,339
calcification,6871,3511,193,209,193,209
calcification,6721,3376,441,305,441,305
mass,4704,2784,408,426,408,426
calcification,4616,2992,249,273,249,273
mass,5206,2821,245,190,245,190
mass,5864,3528,507,503,507,503
mass,4648,2856,4648,2856,410,378
calcification,6061,3991,1529,969,1529,969
calcification,4464,3024,801,549,801,549
mass,5386,2521,4686,2194,338,287
calcification,5720,4040,457,261,457,93
calcification,6271,2851,441,271,441,271
mass,6031,3286,6031,3286,257,283
mass,6001,3001,5221,2611,288,305
mass,4568,2896,322,338,322,338
mass,5386,3316,341,346,341,346
calcification,5491,2506,273,313,273,313
mass,4568,3296,202,259,202,259
mass,4608,2592,4608,2592,245,210
mass,4616,2952,4616,2952,773,760
calcification,4600,3128,297,361,297,361
calcification,4696,2704,385,369,385,369
mass,5888,3504,5888,3504,382,305
mass,4808,2800,4808,2800,207,225
calcification,4464,3056,137,129,137,129
calcification,4760,2512,857,681,857,681
mass,4640,3112,406,390,406,390
calcification,5712,4080,137,137,137,137
calcification,4568,3120,297,185,297,185
calcification,5491,2851,305,585,305,585
calcification,4216,3040,137,121,137,121
mass,4528,2976,4528,2976,241,294
calcification,5491,2461,569,329,569,329
mass,6736,2956,6736,2956,193,225
mass,4816,2720,4816,2720,257,242
calcification,4568,2920,393,393,393,393
calcification,6346,4876,305,401,305,401
mass,4616,2832,4616,2832,227,279
mass,4736,2680,4736,2680,403,357
mass,5371,3076,5371,3076,420,365
calcification,7111,4186,241,326,241,326
