n_in,n_out,enrich,speck_frac_in_roi,img,label
5,2,6.307418357747615,0.00024190297003090982,/root/autodl-tmp/CBIS/crops_fixed_calc/2e7ae8e353b5c8085f96fc223e7c1165_img.png,1
16,18,6.240934527330708,0.005538216755400526,/root/autodl-tmp/CBIS/crops_fixed_calc/a5bee11968ae78760d9c4a86e76bc741_img.png,1
20,10,11.010596322306872,0.009008114747996128,/root/autodl-tmp/CBIS/crops_fixed_calc/c3b19ba39372a5337cc7835f280c4965_img.png,1
27,45,2.2588690768307975,0.010105967246487449,/root/autodl-tmp/CBIS/crops_fixed_calc/2f97866db14f0c1a5c10c3f2a68306bd_img.png,0
4,4,2.84663017799234,0.0006603178329836095,/root/autodl-tmp/CBIS/crops_fixed_calc/599604349afdd67591ca898c1abf2de7_img.png,0
2,2,2.907872571965236,0.0004024984719965415,/root/autodl-tmp/CBIS/crops_fixed_calc/793aad318eda8830514983e6536765b4_img.png,0
8,25,0.8509718305927022,0.005220692928334125,/root/autodl-tmp/CBIS/crops_fixed_calc/d7e50b3c5e454b2729956a6a8cf710ee_img.png,0
15,3,12.722970414841257,0.003407431445724485,/root/autodl-tmp/CBIS/crops_fixed_calc/148703897f3fc7158e39fda053793077_img.png,0
10,1,25.518460808888285,0.002669195853939435,/root/autodl-tmp/CBIS/crops_fixed_calc/aa02a2307c29e0d49697b8cb7a2744e7_img.png,0
1,4,0.9275613612678335,0.0002695224062960434,/root/autodl-tmp/CBIS/crops_fixed_calc/e3adca18c2d84a85f9ccf3f754fd26b1_img.png,0
5,11,1.2518323721245102,0.002305599312616354,/root/autodl-tmp/CBIS/crops_fixed_calc/a6853c423bcb1dc544f81b1a9019b24e_img.png,0
2,1,5.566356866593546,0.00037522369104658546,/root/autodl-tmp/CBIS/crops_fixed_calc/66acd7447663c8fa9732588b3ed82138_img.png,0
3,0,,0.0006872627307239167,/root/autodl-tmp/CBIS/crops_fixed_calc/6a82b57d56c981f96e4df98c544b1b33_img.png,0
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/b25a76a5f0771a3d70eb9727888d36d7_img.png,1
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/9766635e9b9981f260c67164d5021e6e_img.png,1
3,11,0.8738706164170857,0.00024056581078697097,/root/autodl-tmp/CBIS/crops_fixed_calc/4d36703fdd6c549b99dccb2f00f773c8_img.png,0
197,708,1.1628498563711547,0.046725279067470114,/root/autodl-tmp/CBIS/crops_fixed_calc/204b2074e9c0e16f32531ae1ce5a84ec_img.png,0
0,8,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/a123a1836ffe09b9cf1d920438ad7593_img.png,1
1,21,0.1813310765312673,0.00045852209159437304,/root/autodl-tmp/CBIS/crops_fixed_calc/a6c56b6c23a4ba631608d86c985a0822_img.png,1
5,19,0.8489157299128562,0.0003868908484193897,/root/autodl-tmp/CBIS/crops_fixed_calc/0d189a8cb8359a3830630da4228e0dbd_img.png,1
45,34,4.7186720810019525,0.005677266552889137,/root/autodl-tmp/CBIS/crops_fixed_calc/e87b7c1d4a75bd5b7117fee0bafa8595_img.png,1
2,3,2.774491657805957,0.00013783326113495846,/root/autodl-tmp/CBIS/crops_fixed_calc/310d49a5bf42a60c408415079a34bc0f_img.png,1
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/48093d47077b7b2863957849b8dba3fb_img.png,0
8,28,0.6461461897356143,0.000510108864696734,/root/autodl-tmp/CBIS/crops_fixed_calc/6a64760c1a7dce9fbe083f9344907bfc_img.png,0
4,4,6.428911497151925,0.0006801371609941339,/root/autodl-tmp/CBIS/crops_fixed_calc/091f96c76b334b5412073348e7150633_img.png,1
5,5,5.3050244125357775,0.000986122134834163,/root/autodl-tmp/CBIS/crops_fixed_calc/59dcee094821686eedae48315e9df4ec_img.png,1
608,527,2.7958340256263003,0.0596016976820111,/root/autodl-tmp/CBIS/crops_fixed_calc/e2d196fa01671c067499fa3ca3e1c825_img.png,0
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/5ff0e999bfddb5dda33a1d8bca72e827_img.png,0
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/4d63f7ad522f009f6c39614b9b2fc17c_img.png,1
146,549,0.8763911766500204,0.027200629219374713,/root/autodl-tmp/CBIS/crops_fixed_calc/cdf387c47c891809f974c2c86c80a956_img.png,1
20,48,1.018468030500116,0.0012744879055039482,/root/autodl-tmp/CBIS/crops_fixed_calc/a418231d06f41dfe0c47609791391bd3_img.png,1
0,2,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/c69c76dbbfc083204e0d7d55a6fd4f97_img.png,1
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/70a135ffa7e27cb15dc957de75f449f4_img.png,1
1,1,2.1242953340087003,7.150944520588761e-05,/root/autodl-tmp/CBIS/crops_fixed_calc/9ec68f295655a28de212fc63a88dd482_img.png,1
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/05259f850609bc90a463b79e820fec4a_img.png,1
1,7,0.43670740550770265,0.00044880524947381453,/root/autodl-tmp/CBIS/crops_fixed_calc/8d0f2cd41d17e561bb017b4e040d546a_img.png,0
43,268,0.9635913074728976,0.017958790988535235,/root/autodl-tmp/CBIS/crops_fixed_calc/fbeef55e47c094a76b7994241d514622_img.png,0
1,3,1.2549561339731472,3.6353060927730115e-05,/root/autodl-tmp/CBIS/crops_fixed_calc/5cfb085776fd554ae1dddc200e8b1ad7_img.png,0
3,6,2.1596862888334245,0.0014610093139343764,/root/autodl-tmp/CBIS/crops_fixed_calc/c6d7e9ea2a4577658d3876409d920ba3_img.png,0
5,6,3.809867936292014,0.0004250977724876722,/root/autodl-tmp/CBIS/crops_fixed_calc/cdcee30c640aeef5695003f70547931f_img.png,1
8,21,1.1688223009493068,0.0008845712157422639,/root/autodl-tmp/CBIS/crops_fixed_calc/5139342dddbb978b8b764196b500c1a5_img.png,1
28,53,1.9525516853507248,0.002991544855259387,/root/autodl-tmp/CBIS/crops_fixed_calc/133ab1c377f1bc3f433d4f3fbf1cb7da_img.png,1
10,13,3.06418616077761,0.004657529038267779,/root/autodl-tmp/CBIS/crops_fixed_calc/2f3bea6e37142239f194e05b60075224_img.png,0
2,9,0.5802327984020939,0.00017907569391831393,/root/autodl-tmp/CBIS/crops_fixed_calc/d532aea00ed6a01d091a028571410f6f_img.png,0
2,27,0.23421783323983808,0.00014288889594513067,/root/autodl-tmp/CBIS/crops_fixed_calc/8d641783b3e41a7b88de4f495d60a386_img.png,0
2,6,1.3656018509517236,0.00019442770205898937,/root/autodl-tmp/CBIS/crops_fixed_calc/12d74fa22aff51915c753c8bd28f9397_img.png,0
4,12,0.9265988022800896,0.000893964299103152,/root/autodl-tmp/CBIS/crops_fixed_calc/b38f49bed305b18ac02ae55ea779bcc3_img.png,0
1,2,1.593868813700118,0.0006070481485031471,/root/autodl-tmp/CBIS/crops_fixed_calc/b543207290f55b7d7afdfe32e4f2fa45_img.png,0
3,5,1.4910183461845254,0.0003057697420898697,/root/autodl-tmp/CBIS/crops_fixed_calc/d8dfe1d876abfa14d440b28615c2cf16_img.png,1
51,91,1.4003210114677123,0.005031496903694213,/root/autodl-tmp/CBIS/crops_fixed_calc/8f72bcb14cb669169678393cf4abbbc4_img.png,0
3,6,1.4254058024237972,0.0008666911494674991,/root/autodl-tmp/CBIS/crops_fixed_calc/9e3a8a087d551ecbf19cb0c4d27e9003_img.png,0
1,7,0.3727937054339808,8.261617900172117e-05,/root/autodl-tmp/CBIS/crops_fixed_calc/68b9f58088437e0b89218d89718e1beb_img.png,0
15,10,8.078252502862153,0.012617835480963633,/root/autodl-tmp/CBIS/crops_fixed_calc/e1417757605477b7a4c9b638862cd068_img.png,0
8,3,10.470420205968578,0.0063143651807862885,/root/autodl-tmp/CBIS/crops_fixed_calc/6d55eeef12177a4c9ccc5a0036bf9b8c_img.png,0
15,17,2.686374948041364,0.0034406146820131454,/root/autodl-tmp/CBIS/crops_fixed_calc/469078d990f4853e0775d8995896e58d_img.png,0
13,1,63.74695973335735,0.002679938744257274,/root/autodl-tmp/CBIS/crops_fixed_calc/1f1e08a201ff52c544c201a418b5db35_img.png,1
11,3,18.7811874790786,0.003036035404843644,/root/autodl-tmp/CBIS/crops_fixed_calc/b3ce1fe70d5d5045978583342e425d2b_img.png,1
6,33,1.0651742689835932,0.0009941918266966668,/root/autodl-tmp/CBIS/crops_fixed_calc/ca2c50d4e170aa18951e34a921cf5166_img.png,1
2,40,0.17439993151857558,0.0002396849854476973,/root/autodl-tmp/CBIS/crops_fixed_calc/75d742d916adf5169635b1fd7e042098_img.png,1
443,475,2.481135719760745,0.03528491838529958,/root/autodl-tmp/CBIS/crops_fixed_calc/ccee168812a6fa841fab8bcb458b2cf5_img.png,0
4,23,1.0093889932110356,0.0010901162790697674,/root/autodl-tmp/CBIS/crops_fixed_calc/556325398d661f3f8d9877df4069e0fa_img.png,0
4,2,4.5725783198987076,0.00031340495681279694,/root/autodl-tmp/CBIS/crops_fixed_calc/a15a5fb5fb42888408dd49bc7d4d030a_img.png,0
11,10,2.8080897201328185,0.0004879040455377109,/root/autodl-tmp/CBIS/crops_fixed_calc/53a33e1cb4b9768ee73f16a295db19db_img.png,0
137,212,1.8546132394398365,0.019191307813814788,/root/autodl-tmp/CBIS/crops_fixed_calc/c0d6ac6bb6a2335415f96af6254ddcd3_img.png,1
6,2,9.720496894409937,0.000792572463768116,/root/autodl-tmp/CBIS/crops_fixed_calc/b83e6d089ba2be27a0ba903ab56a5dfc_img.png,0
0,2,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/aad7d1ff912ff37c13354b98f8e2e201_img.png,0
5,19,1.313792298604143,0.0012343985735838706,/root/autodl-tmp/CBIS/crops_fixed_calc/bc9946dd249d9f0fd443a9702b61231f_img.png,1
7,0,,0.0011154034495892051,/root/autodl-tmp/CBIS/crops_fixed_calc/7bfdedd2291a8177cea70eafd5cd4bf2_img.png,1
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/896d4ad4a4cf7abfd046b0105c9ce38f_img.png,1
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/58739374fc320f989396d15103bb9456_img.png,0
0,2,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/65441f3a4b589cf8cfd5244fed81e229_img.png,0
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/08252cc6b299af16f347efe1b30a2b92_img.png,0
3,11,0.7319920586454216,0.0006745552151550072,/root/autodl-tmp/CBIS/crops_fixed_calc/eb19f1213462086fa7234a1159acb622_img.png,0
12,8,3.2217839259339316,0.0008285601066320833,/root/autodl-tmp/CBIS/crops_fixed_calc/db07c9a8a8781640e8e7ba2d9f913071_img.png,0
0,3,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/eb778eac19252e1b7edf98bea6d145fe_img.png,0
2,5,1.2878486921529173,0.00019315895372233401,/root/autodl-tmp/CBIS/crops_fixed_calc/edf5a2dab0947cd3b841887aca307503_img.png,0
4,9,1.3052994122888695,0.0002252725798215841,/root/autodl-tmp/CBIS/crops_fixed_calc/e885fa4f04a3cc519cbb525926c66606_img.png,0
6,1,13.27364074160305,0.00037986937395076404,/root/autodl-tmp/CBIS/crops_fixed_calc/5aa60567320e1cec520d184be0cd7d6b_img.png,0
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/57a30c20bcf5c2543d7d8c5a0e14370f_img.png,0
6,12,1.678723404255319,0.0005485372340425532,/root/autodl-tmp/CBIS/crops_fixed_calc/ed4f6750ecb14d6aaa465ef504ee2c4f_img.png,0
9,23,1.0069792802617232,0.0014176663031624864,/root/autodl-tmp/CBIS/crops_fixed_calc/1f0cdc4dc06ea47bb240f7b0c245aa8d_img.png,0
46,36,3.1160279253477916,0.0046041844297238805,/root/autodl-tmp/CBIS/crops_fixed_calc/eec311e7131c16728783c8e40ec4b2de_img.png,0
6,22,0.7819716058290396,0.0021243324580296815,/root/autodl-tmp/CBIS/crops_fixed_calc/a4a88eeb5228f184423af3c6c388aaca_img.png,1
3,19,0.4044927669926865,0.0005434856451853966,/root/autodl-tmp/CBIS/crops_fixed_calc/ad73414a336a07017502a1dd4b6a9745_img.png,1
5,8,2.1255162254268303,0.0034582906642939885,/root/autodl-tmp/CBIS/crops_fixed_calc/96e49cfa549832fecf5e49d7d255c804_img.png,0
7,1,22.736472799753685,0.0019770211800547734,/root/autodl-tmp/CBIS/crops_fixed_calc/184206d186e5e53797e91751d4a4df8e_img.png,0
220,345,1.5322691216829925,0.020574796199179603,/root/autodl-tmp/CBIS/crops_fixed_calc/e50d23e332b0ae32527e4e7374c9bf83_img.png,1
29,53,1.4600970552582335,0.0025749030912831134,/root/autodl-tmp/CBIS/crops_fixed_calc/893b8e7627d2b2951b3c311fe1290638_img.png,1
3,2,3.4352494508942577,0.0007530593034201443,/root/autodl-tmp/CBIS/crops_fixed_calc/ffc1b0c3201af07e69687f90bcdf6416_img.png,1
5,0,,0.002823069296022915,/root/autodl-tmp/CBIS/crops_fixed_calc/a93eab7d7269b8f63411fb2ed3f1946d_img.png,1
32,45,2.850408751159596,0.009323474904950231,/root/autodl-tmp/CBIS/crops_fixed_calc/3f760b40c0ea980c3844ce5ab6fa124d_img.png,1
28,21,4.821690410363875,0.007466497613890503,/root/autodl-tmp/CBIS/crops_fixed_calc/b308216f8f0a82b26547aae4e22e1b2b_img.png,1
7,10,1.4303365568803186,0.0012538165944948165,/root/autodl-tmp/CBIS/crops_fixed_calc/96297e03198991aad77b1c234a39aacf_img.png,0
11,23,1.1832798613415938,0.0012325063613231552,/root/autodl-tmp/CBIS/crops_fixed_calc/1cded0b2b2b0816caaba5194aa0fd0d5_img.png,0
0,3,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/562f2a43fa776510dfedac1ea4ea62a4_img.png,1
0,2,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/721694734916cbbe85e8b79f70c9d95e_img.png,1
0,1,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/1ef4a2e3f29c90060b399cf5d66717b7_img.png,1
7,13,1.968811571390704,0.0023446658851113715,/root/autodl-tmp/CBIS/crops_fixed_calc/c69a7ba272eac056883dee979dd08aa2_img.png,1
20,27,2.4047016530898992,0.004325007289338128,/root/autodl-tmp/CBIS/crops_fixed_calc/5553eb65ebf56236b4c09af56548a596_img.png,1
18,5,19.619703269935783,0.006175725217134562,/root/autodl-tmp/CBIS/crops_fixed_calc/6eeaebbc3a019cf2af293952eefa1a14_img.png,1
10,2,16.191915925626517,0.0024575586095392076,/root/autodl-tmp/CBIS/crops_fixed_calc/9f9e303a70eea1e43a9bef4c063d4f96_img.png,1
2,1,8.607319885892325,0.00016185485665729256,/root/autodl-tmp/CBIS/crops_fixed_calc/0962f5397800ec3854e68dd86a4a5960_img.png,0
5,2,6.188089935305971,0.0005302789267154523,/root/autodl-tmp/CBIS/crops_fixed_calc/eef033dd860051db9fac08a4a05298cc_img.png,0
2,10,0.7585841225728599,9.141770578125571e-05,/root/autodl-tmp/CBIS/crops_fixed_calc/d800bb060dab32db0ad8221b64088f6a_img.png,0
6,4,5.844340679865521,0.0005603287261860292,/root/autodl-tmp/CBIS/crops_fixed_calc/b1cc1e10150c710e2c6357f2a0665646_img.png,0
0,2,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/795605507394419dbb38100d63c6d72d_img.png,0
5,43,0.38909032583432684,0.0002652695802108893,/root/autodl-tmp/CBIS/crops_fixed_calc/e2318c065050a138ec87d70de85f8337_img.png,0
0,23,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/e39df779af0a55b428cbaa97db6788e1_img.png,0
31,54,2.1617111585116238,0.006817190226876091,/root/autodl-tmp/CBIS/crops_fixed_calc/a940eac45c67544e2ad3ea029af33d48_img.png,0
0,6,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/d61fbe6464d8dd4d3513da7c8852db56_img.png,0
2,28,0.2255652812301027,0.00022205656097831777,/root/autodl-tmp/CBIS/crops_fixed_calc/7b7bb660737a082ba7c0c8fad1312c7c_img.png,0
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/2df7e4830753fcd11e40779ca956062b_img.png,0
4,13,0.5230972060240353,0.0006179960448253132,/root/autodl-tmp/CBIS/crops_fixed_calc/49a74cf42026f264ebc2753a406c2c7c_img.png,0
4,3,3.2065463047148985,0.0014027795817638654,/root/autodl-tmp/CBIS/crops_fixed_calc/d6fd303fea8cdf3613cc4c7dff2b1520_img.png,0
1,0,,0.0009392804617305006,/root/autodl-tmp/CBIS/crops_fixed_calc/27115348d0bc2087a958e3a83302f636_img.png,0
0,2,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/8f4558c441517021412b2f1383dbed77_img.png,1
7,4,7.021045637917518,0.0006882970384107986,/root/autodl-tmp/CBIS/crops_fixed_calc/2a58c9fe2b6a5cf73858df214a364e72_img.png,1
0,4,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/f03aa99beecb4a447f8049e94b1a09ec_img.png,1
6,3,7.024200488829219,0.0014974697924197047,/root/autodl-tmp/CBIS/crops_fixed_calc/9d0934587e100bb855334be7c1371663_img.png,1
6,4,5.557885951214259,0.0020462010661784504,/root/autodl-tmp/CBIS/crops_fixed_calc/dad6403b49a418962c0bf6207628c2d9_img.png,1
9,45,0.7450547073562016,0.003082358454855165,/root/autodl-tmp/CBIS/crops_fixed_calc/2c76e1bc107bbcdd17bd6a2377b4cbe4_img.png,1
1,0,,0.00018951818645673884,/root/autodl-tmp/CBIS/crops_fixed_calc/501403c54d806f47d299a71b0dd2ad2e_img.png,1
6,2,15.68852926498895,0.0031605712791996387,/root/autodl-tmp/CBIS/crops_fixed_calc/ab6707eb602187d4b01a37e3f7672a0d_img.png,0
5,2,8.537084442049244,0.0017851729596820372,/root/autodl-tmp/CBIS/crops_fixed_calc/4f6c55f24f55737f428981b617302f6a_img.png,1
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/af3a280e011cd4ead0315948b20ebbc9_img.png,0
3,10,0.6734635523042074,9.90258333642789e-05,/root/autodl-tmp/CBIS/crops_fixed_calc/1da36e8802e3958120f09d37e07b4c27_img.png,0
47,111,1.0517886909529874,0.002737832593498312,/root/autodl-tmp/CBIS/crops_fixed_calc/fe3603ee44397e37a5a41ce8dff7f012_img.png,1
1,0,,4.976362279173924e-05,/root/autodl-tmp/CBIS/crops_fixed_calc/08f5e0aca590109128e35ea434f3162b_img.png,1
4,1,32.72641938986375,0.0010157262442646493,/root/autodl-tmp/CBIS/crops_fixed_calc/1d434a4a9eee4efcab619aceddb559f4_img.png,1
1,2,4.358117123795404,7.412898443291327e-05,/root/autodl-tmp/CBIS/crops_fixed_calc/bec041115988135c25413c15d0069d0b_img.png,1
20,3,26.747479382560257,0.005640319681847731,/root/autodl-tmp/CBIS/crops_fixed_calc/92635f1834c034bc275eba1f02246fe6_img.png,1
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/9159ec03e8bddc56058d60f8d08131ed_img.png,0
2,41,0.19995056576579653,0.00013615763163525317,/root/autodl-tmp/CBIS/crops_fixed_calc/9756a078f5759f81f178ea8db8bb1d34_img.png,0
0,9,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/41a09a1692358cf835d82d55720a3468_img.png,0
7,4,4.8149479815108975,0.0007298329970377367,/root/autodl-tmp/CBIS/crops_fixed_calc/a835161a1fd80dd185e961389f1300a2_img.png,0
8,15,1.8014662413787343,0.0013526828209281742,/root/autodl-tmp/CBIS/crops_fixed_calc/10a437af618ab19fde07731e3e14c525_img.png,0
2,5,1.3803857647378428,0.00011885357239880467,/root/autodl-tmp/CBIS/crops_fixed_calc/47a5f8134b1e6ce164e25d3cdc24e82c_img.png,0
0,13,0.0,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/c93938cba4a5120f43932a7f9d64dc7a_img.png,1
10,51,0.8531527085512194,0.0009185735573291964,/root/autodl-tmp/CBIS/crops_fixed_calc/885eb0fa9cedc5bee3bf12dff925c83d_img.png,1
1,1,2.2679357243477067,0.00021192515302242667,/root/autodl-tmp/CBIS/crops_fixed_calc/5f4e761893e5506bd2c56c2ca6f772ce_img.png,0
0,0,,0.0,/root/autodl-tmp/CBIS/crops_fixed_calc/4147517aa8d50d3cbcc222a3e1d69c4c_img.png,0
